group	pdf_path	txt_path	source_url	title
fips-140-3	fips-140-3/NIST.FIPS.140-3.pdf	fips-140-3/NIST.FIPS.140-3.txt	https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-3.pdf	FIPS 140-3: Security Requirements for Cryptographic Modules
fips-140-3	fips-140-3/NIST.SP.800-140.pdf	fips-140-3/NIST.SP.800-140.txt	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140.pdf	SP 800-140: FIPS 140-3 Derived Test Requirements
fips-140-3	fips-140-3/NIST.SP.800-140A.pdf	fips-140-3/NIST.SP.800-140A.txt	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140A.pdf	SP 800-140A: CMVP Documentation Requirements
fips-140-3	fips-140-3/NIST.SP.800-140Br1.pdf	fips-140-3/NIST.SP.800-140Br1.txt	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Br1.pdf	SP 800-140B Rev. 1: CMVP Security Policy Requirements
fips-140-3	fips-140-3/NIST.SP.800-140Cr2.pdf	fips-140-3/NIST.SP.800-140Cr2.txt	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Cr2.pdf	SP 800-140C Rev. 2: CMVP Approved Security Functions
fips-140-3	fips-140-3/NIST.SP.800-140Dr2.pdf	fips-140-3/NIST.SP.800-140Dr2.txt	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140Dr2.pdf	SP 800-140D Rev. 2: CMVP Approved Sensitive Parameter Generation and Establishment Methods
fips-140-3	fips-140-3/NIST.SP.800-140E.pdf	fips-140-3/NIST.SP.800-140E.txt	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140E.pdf	SP 800-140E: CMVP Approved Authentication Mechanisms
fips-140-3	fips-140-3/NIST.SP.800-140F.pdf	fips-140-3/NIST.SP.800-140F.txt	https://nvlpubs.nist.gov/nistpubs/SpecialPublications/NIST.SP.800-140F.pdf	SP 800-140F: CMVP Approved Non-Invasive Attack Mitigation Test Metrics
fips-140-3	fips-140-3/FIPS-140-3-IG.pdf	fips-140-3/FIPS-140-3-IG.txt	https://csrc.nist.gov/CSRC/media/Projects/cryptographic-module-validation-program/documents/fips%20140-3/FIPS%20140-3%20IG.pdf	FIPS 140-3 Implementation Guidance
fips-140-2	fips-140-2/NIST.FIPS.140-2.pdf	fips-140-2/NIST.FIPS.140-2.txt	https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.140-2.pdf	FIPS 140-2: Security Requirements for Cryptographic Modules
fips-140-2	fips-140-2/fips1402annexa.pdf	fips-140-2/fips1402annexa.txt	https://csrc.nist.gov/CSRC/media//Publications/fips/140/2/final/documents/fips1402annexa.pdf	FIPS 140-2 Annex A: Approved Security Functions
fips-140-2	fips-140-2/fips1402annexb.pdf	fips-140-2/fips1402annexb.txt	https://csrc.nist.gov/CSRC/media//Publications/fips/140/2/final/documents/fips1402annexb.pdf	FIPS 140-2 Annex B: Approved Protection Profiles
fips-140-2	fips-140-2/fips1402annexc.pdf	fips-140-2/fips1402annexc.txt	https://csrc.nist.gov/CSRC/media//Publications/fips/140/2/final/documents/fips1402annexc.pdf	FIPS 140-2 Annex C: Approved Random Number Generators
fips-140-2	fips-140-2/fips1402annexd.pdf	fips-140-2/fips1402annexd.txt	https://csrc.nist.gov/CSRC/media//Publications/fips/140/2/final/documents/fips1402annexd.pdf	FIPS 140-2 Annex D: Approved Key Establishment Techniques
fips-140-2	fips-140-2/FIPS1402DTR.pdf	fips-140-2/FIPS1402DTR.txt	https://csrc.nist.gov/CSRC/media/Projects/Cryptographic-Module-Validation-Program/documents/fips140-2/FIPS1402DTR.pdf	FIPS 140-2 Derived Test Requirements
fips-140-2	fips-140-2/FIPS1402IG.pdf	fips-140-2/FIPS1402IG.txt	https://csrc.nist.gov/CSRC/media/Projects/Cryptographic-Module-Validation-Program/documents/fips140-2/FIPS1402IG.pdf	FIPS 140-2 Implementation Guidance
algorithms	algorithms/NIST.FIPS.197-upd1.pdf	algorithms/NIST.FIPS.197-upd1.txt	https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.197-upd1.pdf	FIPS 197 Update 1: Advanced Encryption Standard
algorithms	algorithms/NIST.FIPS.180-4.pdf	algorithms/NIST.FIPS.180-4.txt	https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.180-4.pdf	FIPS 180-4: Secure Hash Standard
algorithms	algorithms/NIST.FIPS.202.pdf	algorithms/NIST.FIPS.202.txt	https://nvlpubs.nist.gov/nistpubs/FIPS/NIST.FIPS.202.pdf	FIPS 202: SHA-3 Standard
